2025-10-18 23:07:11,PEPE,0.000007,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:07:58,BTC,106915.110000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 287ms
2025-10-18 23:08:00,ETH,3871.730000,-0.30,-0.30,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 288ms
2025-10-18 23:08:02,LTC,90.960000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:08:04,LINEA,0.017920,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:08:06,SOL,184.610000,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 285ms
2025-10-18 23:08:08,BNB,1089.690000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 417ms
2025-10-18 23:08:09,ADA,0.630200,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:08:11,PEPE,0.000007,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:08:58,BTC,106918.460000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 286ms
2025-10-18 23:09:00,ETH,3872.570000,-0.30,-0.30,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:09:07,BTC,106933.510000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 522ms
2025-10-18 23:09:09,ETH,3873.730000,1.50,-0.00,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 402ms
2025-10-18 23:09:10,LTC,90.960000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 425ms
2025-10-18 23:09:12,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:09:14,SOL,184.600000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:09:16,BNB,1089.890000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 436ms
2025-10-18 23:09:18,ADA,0.630100,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 416ms
2025-10-18 23:09:20,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:10:08,BTC,106940.670000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 467ms
2025-10-18 23:10:09,ETH,3876.000000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 414ms
2025-10-18 23:10:11,LTC,91.000000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 415ms
2025-10-18 23:10:13,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:10:15,SOL,184.850000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 404ms
2025-10-18 23:10:17,BNB,1091.060000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 413ms
2025-10-18 23:10:18,ADA,0.630800,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 413ms
2025-10-18 23:10:20,PEPE,0.000007,-0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 413ms
2025-10-18 23:11:09,BTC,106941.070000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 419ms
2025-10-18 23:11:09,ETH,3875.100000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 412ms
2025-10-18 23:11:11,LTC,90.970000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 402ms
2025-10-18 23:11:13,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 414ms
2025-10-18 23:11:15,SOL,184.820000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 412ms
2025-10-18 23:11:17,BNB,1090.660000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 406ms
2025-10-18 23:11:19,ADA,0.630400,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 412ms
2025-10-18 23:11:21,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:12:09,BTC,106911.710000,-0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 414ms
2025-10-18 23:12:10,ETH,3873.690000,1.50,-0.00,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 402ms
2025-10-18 23:12:12,LTC,90.780000,0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 403ms
2025-10-18 23:12:14,LINEA,0.017930,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 409ms
2025-10-18 23:12:15,SOL,184.710000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 431ms
2025-10-18 23:12:17,BNB,1089.600000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 436ms
2025-10-18 23:12:19,ADA,0.629700,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:12:21,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 403ms
2025-10-18 23:13:10,BTC,106903.580000,-0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 435ms
2025-10-18 23:13:10,ETH,3873.670000,1.50,-0.00,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 409ms
2025-10-18 23:13:12,LTC,90.740000,0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:13:14,LINEA,0.017920,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 432ms
2025-10-18 23:13:16,SOL,184.630000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:13:18,BNB,1089.010000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 424ms
2025-10-18 23:13:20,ADA,0.629500,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 412ms
2025-10-18 23:13:22,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 416ms
2025-10-18 23:14:10,BTC,106919.410000,-0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 428ms
2025-10-18 23:14:11,ETH,3875.820000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 431ms
2025-10-18 23:14:13,LTC,90.860000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 393ms
2025-10-18 23:14:14,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 428ms
2025-10-18 23:14:16,SOL,184.820000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 398ms
2025-10-18 23:14:18,BNB,1089.560000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 439ms
